id	mode	local_path	url
roadmap	download	source/advanced-ml-roadmap.html	https://csdiy.wiki/机器学习进阶/roadmap/
prml	download	books/prml-bishop-2006.pdf	https://www.microsoft.com/en-us/research/wp-content/uploads/2006/01/Bishop-Pattern-Recognition-and-Machine-Learning-2006.pdf
aos	link-only	books/all-of-statistics.pdf	https://link.springer.com/book/10.1007/978-0-387-21736-9
mlapp-preview	download	books/mlapp-toc-preface.pdf	https://www.cs.ubc.ca/~murphyk/MLbook/pml-toc-1may12.pdf
mlapp	link-only	books/mlapp.pdf	https://www.cs.ubc.ca/~murphyk/MLbook/
convex-book	download	books/convex-optimization.pdf	https://web.stanford.edu/~boyd/cvxbook/bv_cvxbook.pdf
convex-slides	download	slides/convex-optimization-slides.pdf	https://web.stanford.edu/~boyd/cvxbook/bv_cvxslides.pdf
wainwright-jordan	download	books/wainwright-jordan-2008.pdf	https://people.eecs.berkeley.edu/~jordan/papers/wainwright-jordan-fnt.pdf
point-estimation	link-only	books/theory-of-point-estimation.pdf	https://link.springer.com/book/10.1007/b98854
cmu-10708-schedule	download	cmu-10-708/schedule.html	https://www.cs.cmu.edu/~mgormley/courses/10708/schedule.html
cmu-10708-l01	download	cmu-10-708/slides/lecture01-overview.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture1-overview.pdf
cmu-10708-l02	download	cmu-10-708/slides/lecture02-dgm.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture2-dgm.pdf
cmu-10708-l03	download	cmu-10-708/slides/lecture03-ugm.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture3-ugm.pdf
cmu-10708-l04	download	cmu-10-708/slides/lecture04-factor-graphs.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture4-fg.pdf
cmu-10708-l05	download	cmu-10-708/slides/lecture05-belief-propagation.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture5-bp.pdf
cmu-10708-l06	download	cmu-10-708/slides/lecture06-crf.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture6-crf.pdf
cmu-10708-l07	download	cmu-10-708/slides/lecture07-neural.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture7-neural.pdf
cmu-10708-l08	download	cmu-10-708/slides/lecture08-hybrid.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture8-hybrid.pdf
cmu-10708-l09	download	cmu-10-708/slides/lecture09-map.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture9-map.pdf
cmu-10708-l10	download	cmu-10-708/slides/lecture10-structured-svm.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture10-struc-svm.pdf
cmu-10708-l11	link-only	cmu-10-708/slides/lecture11-cnn.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture11-cnn.pdf
cmu-10708-l12	download	cmu-10-708/slides/lecture12-monte-carlo.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture12-monte.pdf
cmu-10708-l13	download	cmu-10-708/slides/lecture13-mcmc.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture13-mcmc.pdf
cmu-10708-l14	download	cmu-10-708/slides/lecture14-bayesian.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture14-bayesian.pdf
cmu-10708-l15	download	cmu-10-708/slides/lecture15-topic-models.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture15-tm.pdf
cmu-10708-l16	download	cmu-10-708/slides/lecture16-mean-field.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture16-mean-field.pdf
cmu-10708-l17	download	cmu-10-708/slides/lecture17-cavi.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture17-cavi.pdf
cmu-10708-l18	download	cmu-10-708/slides/lecture18-exponential-families.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture18-expfam.pdf
cmu-10708-l19	download	cmu-10-708/slides/lecture19-variational-em.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture19-vem.pdf
cmu-10708-l20	link-only	cmu-10-708/slides/lecture20-vae.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture20-vae.pdf
cmu-10708-l21	link-only	cmu-10-708/slides/lecture21-deep-generative-models.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture21-deepgen.pdf
cmu-10708-l22	link-only	cmu-10-708/slides/lecture22-nonparametric-bayes.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture22-npbayes.pdf
cmu-10708-l23	link-only	cmu-10-708/slides/lecture23-ibp.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture23-ibp.pdf
cmu-10708-l24	link-only	cmu-10-708/slides/lecture24-gaussian-processes.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture24-gp.pdf
cmu-10708-l25	link-only	cmu-10-708/slides/lecture25-causality.pdf	https://www.cs.cmu.edu/~mgormley/courses/10708/slides/lecture25-caus.pdf
